335,IAD,TPA,2211,2003,-14,8
3231,IAD,TPA,1002,754,2,19
448,IND,BWI,804,628,14,8
1746,IND,BWI,1054,926,-6,-4
3920,IND,BWI,1959,1829,34,34
378,IND,JAX,2121,1940,11,25
509,IND,LAS,2037,1937,57,67
535,IND,LAS,1132,1039,-18,-1
11,IND,MCI,652,617,2,2
810,IND,MCI,1639,1620,-16,0
100,IND,MCO,916,706,1,6
1333,IND,MCO,1845,1644,80,94
829,IND,MDW,1426,1426,1,-4
1016,IND,MDW,720,715,10,0
1827,IND,MDW,1651,1702,-4,2
2272,IND,MDW,1021,1029,11,9
675,IND,PHX,1640,1452,15,27
1144,IND,PHX,940,754,-15,9
4,IND,TPA,1526,1323,16,28
54,ISP,BWI,1512,1416,37,51
68,ISP,BWI,807,706,-3,1
623,ISP,BWI,1754,1657,19,32
717,ISP,BWI,1956,1900,6,20
1244,ISP,BWI,1133,1039,-7,9
2101,ISP,BWI,902,801,-8,1
2553,ISP,BWI,1619,1520,14,25
188,ISP,FLL,1657,1422,47,87
1754,ISP,FLL,2239,1954,4,29
2275,ISP,FLL,921,636,-24,1
550,ISP,LAS,958,734,-22,4
362,ISP,MCO,2334,2107,64,82
543,ISP,MCO,1234,1008,-21,3
1112,ISP,MCO,953,712,-7,2
1397,ISP,MCO,1546,1312,-4,12
3398,ISP,MCO,1715,1449,-5,19
3480,ISP,MCO,1859,1634,14,39
300,ISP,MDW,935,831,-20,1
422,ISP,MDW,1927,1812,72,82
1837,ISP,MDW,1235,1127,5,22
2871,ISP,MDW,1531,1424,11,29
1056,ISP,PBI,1559,1326,29,56
2175,ISP,PBI,2019,1749,-11,24
3319,ISP,PBI,958,726,-22,6
3667,ISP,RSW,929,646,-26,6
2006,ISP,TPA,1428,1153,-12,13
3858,ISP,TPA,1802,1528,-8,18
3928,ISP,TPA,907,634,-28,-1
534,JAN,BWI,1148,831,8,1
3244,JAN,BWI,1806,1450,21,15
186,JAN,HOU,2354,2245,304,315
971,JAN,HOU,724,615,-11,0
2124,JAN,HOU,1303,1150,-2,5
3154,JAN,HOU,2135,2025,35,45
1035,JAN,MCO,1314,1038,49,53
205,JAN,MDW,2123,1900,38,10
449,JAN,MDW,851,700,-9,0
3430,JAX,BHM,959,948,19,23
1580,JAX,BNA,725,646,30,26
2195,JAX,BNA,1136,1110,26,30
2804,JAX,BNA,1603,1535,-7,0
3428,JAX,BNA,1942,1919,-8,4
433,JAX,BWI,1245,1053,5,-2
1331,JAX,BWI,1623,1433,-2,-7
3504,JAX,BWI,2158,2015,3,5
378,JAX,FLL,2244,2139,4,9
640,JAX,FLL,1602,1500,-13,0
1396,JAX,FLL,1000,850,0,0
2189,JAX,FLL,752,646,-3,1
3312,JAX,FLL,1328,1221,-2,1
3948,JAX,FLL,1841,1738,1,8
54,JAX,HOU,1936,1813,31,38
2272,JAX,IND,1001,802,6,12
549,JAX,ORF,1946,1820,-9,-5
3604,JAX,ORF,953,821,8,1
23,JAX,PHL,1941,1734,36,44
1232,JAX,PHL,926,712,11,12
977,JAX,TPA,1410,1318,10,8
1574,JAX,TPA,1052,958,62,58
2019,JAX,TPA,1950,1859,5,9
500,LAS,ABQ,1753,1538,43,53
778,LAS,ABQ,1151,933,-9,-2
890,LAS,ABQ,102,2248,77,83
1171,LAS,ABQ,1550,1327,50,57
1320,LAS,ABQ,846,624,-4,-1
1925,LAS,ABQ,1833,1614,8,14
2457,LAS,ABQ,2136,1917,-4,2
302,LAS,ALB,148,1832,78,97
1079,LAS,AMA,1633,1229,38,34
155,LAS,AUS,1724,1256,4,16
2021,LAS,AUS,144,2118,54,63
3222,LAS,AUS,1334,905,4,15
1018,LAS,BDL,114,1739,49,59
3948,LAS,BHM,1426,906,-4,1
249,LAS,BNA,1339,816,-1,1
419,LAS,BNA,1841,1325,31,45
2032,LAS,BNA,2030,1506,20,26
3940,LAS,BNA,155,2039,60,69
71,LAS,BOI,1209,924,-1,4
538,LAS,BOI,1849,1611,24,36
2383,LAS,BUF,117,1824,52,69
